* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test Real Dec 10
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 55.952, -87.7798
20.507813, 56.620, -94.2350
20.874023, 57.238, -100.0274
21.240234, 57.824, -105.0512
21.606445, 58.396, -109.3352
21.972656, 58.971, -113.0789
22.338867, 59.550, -116.5934
22.705078, 60.118, -120.1981
23.071289, 60.646, -124.0967
23.437500, 61.105, -128.3181
23.803711, 61.479, -132.7288
24.169922, 61.777, -137.1121
24.536133, 62.023, -141.2575
24.902344, 62.258, -145.0499
25.268555, 62.516, -148.5112
25.634766, 62.819, -151.7640
26.000977, 63.164, -154.9306
26.367188, 63.538, -158.0516
26.733399, 63.929, -161.0696
27.099610, 64.338, -163.9037
27.465821, 64.775, -166.5359
27.832032, 65.247, -169.0540
28.198243, 65.747, -171.6109
28.564454, 66.248, -174.3322
28.930665, 66.723, -177.2458
29.296876, 67.148, 179.7245
29.663087, 67.521, 176.7143
30.029298, 67.858, 173.8539
30.395509, 68.190, 171.2130
30.761720, 68.554, 168.7737
31.127931, 68.978, 166.4346
31.494142, 69.476, 164.0471
31.860353, 70.042, 161.4680
32.226563, 70.653, 158.6043
32.592774, 71.283, 155.4346
32.958985, 71.907, 152.0005
33.325196, 72.507, 148.3779
33.691407, 73.083, 144.6399
34.057618, 73.642, 140.8240
34.423829, 74.195, 136.9218
34.790040, 74.749, 132.8943
35.156251, 75.304, 128.7101
35.522462, 75.852, 124.3780
35.888673, 76.382, 119.9584
36.254884, 76.885, 115.5414
36.621095, 77.359, 111.2130
36.987306, 77.804, 107.0247
37.353517, 78.227, 102.9878
37.719728, 78.630, 99.0878
38.085939, 79.017, 95.3120
38.452150, 79.395, 91.6637
38.818361, 79.772, 88.1550
39.184572, 80.158, 84.7815
39.550783, 80.562, 81.5022
39.916994, 80.985, 78.2455
40.283205, 81.417, 74.9435
40.649416, 81.840, 71.5714
41.015627, 82.237, 68.1631
41.381838, 82.602, 64.7920
41.748049, 82.936, 61.5272
42.114260, 83.254, 58.3909
42.480471, 83.570, 55.3410
42.846682, 83.890, 52.2910
43.212893, 84.213, 49.1591
43.579103, 84.526, 45.9144
43.945314, 84.816, 42.5940
44.311525, 85.073, 39.2848
44.677736, 85.296, 36.0853
45.043947, 85.489, 33.0693
45.410158, 85.663, 30.2624
45.776369, 85.828, 27.6391
46.142580, 85.993, 25.1383
46.508791, 86.163, 22.6876
46.875002, 86.337, 20.2290
47.241213, 86.513, 17.7356
47.607424, 86.688, 15.2159
47.973635, 86.861, 12.7035
48.339846, 87.032, 10.2350
48.706057, 87.204, 7.8285
49.072268, 87.377, 5.4710
49.438479, 87.550, 3.1272
49.804690, 87.714, 0.7634
50.170901, 87.860, -1.6261
50.537112, 87.981, -4.0106
