* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 16, Pro Tools Audio Bridge 16, 2, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 10, 2024 11:18:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test HR
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 63.013, 29.3247
20.507813, 62.773, 33.4853
20.874023, 62.797, 37.9849
21.240234, 63.107, 42.5184
21.606445, 63.666, 46.7674
21.972656, 64.404, 50.5203
22.338867, 65.242, 53.6983
22.705078, 66.120, 56.3135
23.071289, 67.000, 58.4061
23.437500, 67.867, 60.0009
23.803711, 68.715, 61.0930
24.169922, 69.542, 61.6764
24.536133, 70.343, 61.7879
24.902344, 71.115, 61.5258
25.268555, 71.858, 61.0219
25.634766, 72.575, 60.3879
26.000977, 73.270, 59.6790
26.367188, 73.943, 58.8977
26.733399, 74.586, 58.0327
27.099610, 75.193, 57.0884
27.465821, 75.764, 56.0832
27.832032, 76.306, 55.0213
28.198243, 76.826, 53.8784
28.564454, 77.332, 52.6216
28.930665, 77.822, 51.2481
29.296876, 78.297, 49.8043
29.663087, 78.757, 48.3613
30.029298, 79.209, 46.9679
30.395509, 79.657, 45.6223
30.761720, 80.100, 44.2915
31.127931, 80.528, 42.9573
31.494142, 80.935, 41.6416
31.860353, 81.321, 40.3838
32.226563, 81.696, 39.1922
32.592774, 82.066, 38.0215
32.958985, 82.435, 36.8068
33.325196, 82.793, 35.5263
33.691407, 83.136, 34.2299
34.057618, 83.465, 32.9987
34.423829, 83.792, 31.8712
34.790040, 84.126, 30.8034
35.156251, 84.465, 29.7112
35.522462, 84.796, 28.5574
35.888673, 85.105, 27.3990
36.254884, 85.393, 26.3414
36.621095, 85.677, 25.4376
36.987306, 85.973, 24.6241
37.353517, 86.283, 23.7674
37.719728, 86.591, 22.7887
38.085939, 86.876, 21.7473
38.452150, 87.133, 20.7980
38.818361, 87.382, 20.0540
39.184572, 87.648, 19.4737
39.550783, 87.938, 18.8838
39.916994, 88.235, 18.1364
40.283205, 88.509, 17.2554
40.649416, 88.746, 16.4271
41.015627, 88.961, 15.8437
41.381838, 89.192, 15.5253
