* Measurement data measured by REW V5.31.3
* Source: Pro Tools Audio Bridge 2-B, Pro Tools Audio Bridge 2-B, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 11, 2024 1:23:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bad Cat Matching Test NAM Dec 11
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.141602, 71.040, -45.1673
20.507813, 70.822, -50.7026
20.874023, 70.680, -56.5103
21.240234, 70.664, -62.0122
21.606445, 70.748, -66.7623
21.972656, 70.851, -70.6841
22.338867, 70.885, -74.0507
22.705078, 70.793, -77.3096
23.071289, 70.557, -80.9182
23.437500, 70.210, -85.2207
23.803711, 69.820, -90.3389
24.169922, 69.465, -96.0919
24.536133, 69.195, -102.0562
24.902344, 68.999, -107.8101
25.268555, 68.822, -113.2150
25.634766, 68.607, -118.5139
26.000977, 68.330, -124.2298
26.367188, 68.035, -130.9375
26.733399, 67.826, -138.9465
27.099610, 67.834, -147.9677
27.465821, 68.125, -157.1070
27.832032, 68.646, -165.4193
28.198243, 69.270, -172.5012
28.564454, 69.883, -178.5387
28.930665, 70.430, 176.0010
29.296876, 70.913, 170.6617
29.663087, 71.367, 165.1721
30.029298, 71.836, 159.5153
30.395509, 72.345, 153.8918
30.761720, 72.887, 148.5813
31.127931, 73.433, 143.7877
31.494142, 73.948, 139.5582
31.860353, 74.408, 135.7997
32.226563, 74.809, 132.3475
32.592774, 75.159, 129.0424
32.958985, 75.474, 125.7884
33.325196, 75.773, 122.5781
33.691407, 76.067, 119.4739
34.057618, 76.359, 116.5602
34.423829, 76.646, 113.8891
34.790040, 76.919, 111.4525
35.156251, 77.168, 109.1871
35.522462, 77.390, 107.0043
35.888673, 77.583, 104.8222
36.254884, 77.754, 102.5870
36.621095, 77.911, 100.2749
36.987306, 78.062, 97.8825
37.353517, 78.212, 95.4118
37.719728, 78.360, 92.8613
38.085939, 78.502, 90.2242
38.452150, 78.631, 87.4909
38.818361, 78.747, 84.6544
39.184572, 78.853, 81.7122
39.550783, 78.954, 78.6686
39.916994, 79.060, 75.5352
40.283205, 79.179, 72.3317
40.649416, 79.314, 69.0851
41.015627, 79.468, 65.8253
41.381838, 79.641, 62.5809
41.748049, 79.831, 59.3737
42.114260, 80.038, 56.2163
42.480471, 80.261, 53.1131
42.846682, 80.500, 50.0634
43.212893, 80.751, 47.0652
43.579103, 81.013, 44.1147
43.945314, 81.282, 41.2068
44.311525, 81.556, 38.3351
44.677736, 81.833, 35.4922
45.043947, 82.111, 32.6732
45.410158, 82.388, 29.8798
45.776369, 82.663, 27.1212
46.142580, 82.935, 24.4130
46.508791, 83.203, 21.7722
46.875002, 83.467, 19.2123
47.241213, 83.727, 16.7410
47.607424, 83.982, 14.3597
47.973635, 84.232, 12.0659
48.339846, 84.477, 9.8550
48.706057, 84.715, 7.7229
49.072268, 84.948, 5.6645
49.438479, 85.173, 3.6736
49.804690, 85.392, 1.7426
50.170901, 85.605, -0.1361
50.537112, 85.813, -1.9683
50.903323, 86.018, -3.7565
51.269534, 86.221, -5.4996
51.635745, 86.425, -7.1947
52.001956, 86.631, -8.8387
52.368167, 86.840, -10.4317
52.734378, 87.054, -11.9771
53.100589, 87.271, -13.4813
53.466800, 87.493, -14.9517
53.833011, 87.719, -16.3944
54.199222, 87.951, -17.8132
54.565432, 88.189, -19.2101
54.931643, 88.433, -20.5859
55.297854, 88.683, -21.9419
55.664065, 88.937, -23.2807
56.030276, 89.195, -24.6058
56.396487, 89.453, -25.9216
56.762698, 89.712, -27.2327
57.128909, 89.969, -28.5435
57.495120, 90.225, -29.8578
57.861331, 90.480, -31.1788
58.227542, 90.734, -32.5083
58.593753, 90.987, -33.8469
58.959964, 91.240, -35.1944
59.326175, 91.493, -36.5510
59.692386, 91.745, -37.9180
60.058597, 91.996, -39.2980
60.424808, 92.247, -40.6938
60.791019, 92.499, -42.1084
61.157230, 92.753, -43.5438
61.523441, 93.007, -45.0015
61.889652, 93.263, -46.4814
62.255863, 93.520, -47.9832
62.622074, 93.776, -49.5053
62.988285, 94.032, -51.0466
63.354496, 94.286, -52.6069
63.720707, 94.539, -54.1873
64.086918, 94.791, -55.7910
64.453129, 95.042, -57.4224
64.819340, 95.292, -59.0850
65.185551, 95.539, -60.7808
65.551762, 95.783, -62.5095
65.917972, 96.024, -64.2699
66.284183, 96.260, -66.0596
66.650394, 96.491, -67.8765
67.016605, 96.718, -69.7180
67.382816, 96.940, -71.5811
67.749027, 97.159, -73.4622
68.115238, 97.375, -75.3582
68.481449, 97.589, -77.2673
68.847660, 97.800, -79.1882
69.213871, 98.008, -81.1195
69.580082, 98.212, -83.0586
69.946293, 98.412, -85.0018
